BANK,Year,Anomaly_Score
SBI,2007,0.12315452784601222
SBI,2008,0.10006866319482088
SBI,2009,0.13437074171381425
SBI,2010,0.11466605718349399
SBI,2011,0.16040590283925177
SBI,2012,0.13067814318166748
SBI,2013,0.12271603272606868
SBI,2014,0.13390564188437754
SBI,2015,0.11814372915604121
SBI,2016,0.11891648869054999
SBI,2017,0.05374099515638431
SBI,2018,0.1440293399658425
SBI,2019,0.11014540036203685
SBI,2020,0.0822076075333601
SBI,2021,0.08571027548660182
SBI,2022,0.07198298132039016
SBI,2023,0.06521992824687839
SBI,2024,0.01368506679944026
